,SandyLoam_D85_REFERENCE,SandyLoam_D85_20150126,SandyLoam_D85_20150307,SandyLoam_D85_20150401,SandyLoam_D85_20150526,SandyLoam_D85_20150923,SandyLoam_D85_20151102
2000-09-25,8.489903450012207,8.489903450012207,8.489903450012207,8.489903450012207,8.489903450012207,8.489903450012207,8.489903450012207
2000-09-26,8.489176750183105,8.489176750183105,8.489176750183105,8.489176750183105,8.489176750183105,8.489176750183105,8.489176750183105
2000-09-27,8.488519668579102,8.488519668579102,8.488519668579102,8.488519668579102,8.488519668579102,8.488519668579102,8.488519668579102
2000-09-28,8.487933158874512,8.487933158874512,8.487933158874512,8.487933158874512,8.487933158874512,8.487933158874512,8.487933158874512
2000-09-29,8.48741340637207,8.48741340637207,8.48741340637207,8.48741340637207,8.48741340637207,8.48741340637207,8.48741340637207
2000-09-30,8.486980438232422,8.486980438232422,8.486980438232422,8.486980438232422,8.486980438232422,8.486980438232422,8.486980438232422
2000-10-01,8.486615180969238,8.486615180969238,8.486615180969238,8.486615180969238,8.486615180969238,8.486615180969238,8.486615180969238
2000-10-02,8.486302375793457,8.486302375793457,8.486302375793457,8.486302375793457,8.486302375793457,8.486302375793457,8.486302375793457
2000-10-03,8.486047744750977,8.486047744750977,8.486047744750977,8.486047744750977,8.486047744750977,8.486047744750977,8.486047744750977
2000-10-04,8.485821723937988,8.485821723937988,8.485821723937988,8.485821723937988,8.485821723937988,8.485821723937988,8.485821723937988
2000-10-05,8.485616683959961,8.485616683959961,8.485616683959961,8.485616683959961,8.485616683959961,8.485616683959961,8.485616683959961
2000-10-06,8.485462188720703,8.485462188720703,8.485462188720703,8.485462188720703,8.485462188720703,8.485462188720703,8.485462188720703
2000-10-07,8.485361099243164,8.485361099243164,8.485361099243164,8.485361099243164,8.485361099243164,8.485361099243164,8.485361099243164
2000-10-08,8.485318183898926,8.485318183898926,8.485318183898926,8.485318183898926,8.485318183898926,8.485318183898926,8.485318183898926
2000-10-09,8.485359191894531,8.485359191894531,8.485359191894531,8.485359191894531,8.485359191894531,8.485359191894531,8.485359191894531
